from,to,edge
0,3,1
0,26,1
0,6,1
1,4,1
1,30,1
1,5,1
2,29,1
2,21,1
2,10,1
3,13,1
3,21,1
4,9,1
4,16,1
4,30,1
5,25,1
5,28,1
5,34,1
6,18,1
6,7,1
6,16,1
7,18,1
7,22,1
8,21,1
8,15,1
8,2,1
9,16,1
9,27,1
9,23,1
10,21,1
10,29,1
10,15,1
11,12,1
11,21,1
11,24,1
12,32,1
12,27,1
13,11,1
13,21,1
14,3,1
14,25,1
14,34,1
15,25,1
15,28,1
17,31,1
17,33,1
17,32,1
18,9,1
18,11,1
19,6,1
19,26,1
19,14,1
20,10,1
20,25,1
20,4,1
22,13,1
22,25,1
22,3,1
23,27,1
23,29,1
23,32,1
24,28,1
24,10,1
25,10,1
26,11,1
26,4,1
27,29,1
27,32,1
28,10,1
30,21,1
30,2,1
30,10,1
31,28,1
31,33,1
32,21,1
32,10,1
33,8,1
33,32,1
34,29,1
34,10,1
