from,to,edge
0,19,1
0,24,1
0,33,1
1,23,1
1,9,1
1,33,1
2,26,1
2,31,1
2,11,1
3,34,1
3,25,1
3,24,1
4,5,1
4,7,1
4,27,1
5,6,1
5,7,1
6,7,1
6,14,1
7,15,1
8,25,1
8,24,1
8,34,1
9,25,1
9,33,1
9,24,1
10,19,1
10,31,1
10,29,1
11,23,1
11,33,1
11,1,1
12,17,1
12,20,1
12,29,1
13,29,1
13,15,1
13,33,1
14,33,1
14,24,1
14,25,1
15,33,1
15,14,1
15,22,1
16,32,1
16,7,1
16,22,1
17,29,1
17,10,1
18,21,1
18,4,1
18,10,1
19,24,1
19,25,1
19,3,1
20,34,1
20,28,1
20,25,1
21,2,1
21,26,1
22,33,1
22,7,1
23,9,1
23,33,1
24,33,1
24,25,1
25,34,1
25,28,1
26,31,1
26,11,1
27,3,1
27,29,1
28,14,1
28,33,1
29,33,1
29,25,1
29,14,1
30,19,1
30,15,1
30,13,1
31,8,1
31,25,1
32,13,1
32,15,1
32,22,1
