"input"	"translation"
"CSPG4_mut"	"R-HSA-1971475"
"CSPG4_mut"	"R-HSA-2024101"
"CSPG4_mut"	"R-HSA-2022870"
"CSPG4_mut"	"R-HSA-1793185"
"CSPG4_mut"	"R-HSA-4420332"
"CSPG4_mut"	"R-HSA-3560801"
"CSPG4_mut"	"R-HSA-3560783"
"CSPG4_mut"	"R-HSA-3595174"
"CSPG4_mut"	"R-HSA-3595172"
"CSPG4_mut"	"R-HSA-3595177"
"CSPG4_mut"	"R-HSA-2022923"
"CSPG4_mut"	"R-HSA-1643685"
"CSPG4_mut"	"R-HSA-3560782"
"CSPG4_mut"	"R-HSA-3781865"
"CSPG4_mut"	"R-HSA-5668914"
"CSPG4_mut"	"R-HSA-1630316"
"CSPG4_mut"	"R-HSA-1638091"
"CSPG4_mut"	"R-HSA-1430728"
"CSPG4_mut"	"R-HSA-71387"
"GPC1_mut"	"R-HSA-1971475"
"GPC1_mut"	"R-HSA-9694614"
"GPC1_mut"	"R-HSA-422475"
"GPC1_mut"	"R-HSA-202733"
"GPC1_mut"	"R-HSA-1793185"
"GPC1_mut"	"R-HSA-4420332"
"GPC1_mut"	"R-HSA-3560801"
"GPC1_mut"	"R-HSA-3560783"
"GPC1_mut"	"R-HSA-3656253"
"GPC1_mut"	"R-HSA-3656237"
"GPC1_mut"	"R-HSA-1266738"
"GPC1_mut"	"R-HSA-1643685"
"GPC1_mut"	"R-HSA-3560782"
"GPC1_mut"	"R-HSA-3781865"
"GPC1_mut"	"R-HSA-5668914"
"GPC1_mut"	"R-HSA-9772572"
"GPC1_mut"	"R-HSA-1630316"
"GPC1_mut"	"R-HSA-2022928"
"GPC1_mut"	"R-HSA-2024096"
"GPC1_mut"	"R-HSA-109582"
"GPC1_mut"	"R-HSA-1638091"
"GPC1_mut"	"R-HSA-5663205"
"GPC1_mut"	"R-HSA-1430728"
"GPC1_mut"	"R-HSA-71387"
"GPC1_mut"	"R-HSA-6806667"
"GPC1_mut"	"R-HSA-196854"
"GPC1_mut"	"R-HSA-9675108"
"GPC1_mut"	"R-HSA-975634"
"GPC1_mut"	"R-HSA-9679506"
"GPC1_mut"	"R-HSA-9694516"
"GPC1_mut"	"R-HSA-9709957"
"GPC1_mut"	"R-HSA-376176"
"GPC1_mut"	"R-HSA-9824446"
"GPC1_mut"	"R-HSA-2187338"
"GPC5_mut"	"R-HSA-1971475"
"GPC5_mut"	"R-HSA-9694614"
"GPC5_mut"	"R-HSA-1793185"
"GPC5_mut"	"R-HSA-4420332"
"GPC5_mut"	"R-HSA-3560801"
"GPC5_mut"	"R-HSA-3560783"
"GPC5_mut"	"R-HSA-3656253"
"GPC5_mut"	"R-HSA-3656237"
"GPC5_mut"	"R-HSA-1643685"
"GPC5_mut"	"R-HSA-3560782"
"GPC5_mut"	"R-HSA-3781865"
"GPC5_mut"	"R-HSA-5668914"
"GPC5_mut"	"R-HSA-9772572"
"GPC5_mut"	"R-HSA-1630316"
"GPC5_mut"	"R-HSA-2022928"
"GPC5_mut"	"R-HSA-2024096"
"GPC5_mut"	"R-HSA-5358346"
"GPC5_mut"	"R-HSA-1638091"
"GPC5_mut"	"R-HSA-5663205"
"GPC5_mut"	"R-HSA-1430728"
"GPC5_mut"	"R-HSA-71387"
"GPC5_mut"	"R-HSA-6806667"
"GPC5_mut"	"R-HSA-196854"
"GPC5_mut"	"R-HSA-5362798"
"GPC5_mut"	"R-HSA-975634"
"GPC5_mut"	"R-HSA-9679506"
"GPC5_mut"	"R-HSA-9694516"
"GPC5_mut"	"R-HSA-9709957"
"GPC5_mut"	"R-HSA-162582"
"GPC5_mut"	"R-HSA-5358351"
"GPC5_mut"	"R-HSA-9824446"
"GPC5_mut"	"R-HSA-2187338"
"GPC6_mut"	"R-HSA-1971475"
"GPC6_mut"	"R-HSA-9694614"
"GPC6_mut"	"R-HSA-1793185"
"GPC6_mut"	"R-HSA-4420332"
"GPC6_mut"	"R-HSA-3560801"
"GPC6_mut"	"R-HSA-3560783"
"GPC6_mut"	"R-HSA-3656253"
"GPC6_mut"	"R-HSA-3656237"
"GPC6_mut"	"R-HSA-1643685"
"GPC6_mut"	"R-HSA-3560782"
"GPC6_mut"	"R-HSA-3781865"
"GPC6_mut"	"R-HSA-5668914"
"GPC6_mut"	"R-HSA-9772572"
"GPC6_mut"	"R-HSA-1630316"
"GPC6_mut"	"R-HSA-2022928"
"GPC6_mut"	"R-HSA-2024096"
"GPC6_mut"	"R-HSA-1638091"
"GPC6_mut"	"R-HSA-5663205"
"GPC6_mut"	"R-HSA-1430728"
"GPC6_mut"	"R-HSA-71387"
"GPC6_mut"	"R-HSA-6806667"
"GPC6_mut"	"R-HSA-196854"
"GPC6_mut"	"R-HSA-975634"
"GPC6_mut"	"R-HSA-9679506"
"GPC6_mut"	"R-HSA-9694516"
"GPC6_mut"	"R-HSA-9709957"
"GPC6_mut"	"R-HSA-9824446"
"GPC6_mut"	"R-HSA-2187338"
"HSPG2_mut"	"R-HSA-1971475"
"HSPG2_mut"	"R-HSA-977225"
"HSPG2_mut"	"R-HSA-9694614"
"HSPG2_mut"	"R-HSA-1793185"
"HSPG2_mut"	"R-HSA-4420332"
"HSPG2_mut"	"R-HSA-3560801"
"HSPG2_mut"	"R-HSA-3560783"
"HSPG2_mut"	"R-HSA-3656253"
"HSPG2_mut"	"R-HSA-3656237"
"HSPG2_mut"	"R-HSA-1474228"
"HSPG2_mut"	"R-HSA-1643685"
"HSPG2_mut"	"R-HSA-3560782"
"HSPG2_mut"	"R-HSA-3781865"
"HSPG2_mut"	"R-HSA-5668914"
"HSPG2_mut"	"R-HSA-3000178"
"HSPG2_mut"	"R-HSA-9772572"
"HSPG2_mut"	"R-HSA-1474244"
"HSPG2_mut"	"R-HSA-1630316"
"HSPG2_mut"	"R-HSA-2022928"
"HSPG2_mut"	"R-HSA-2024096"
"HSPG2_mut"	"R-HSA-1638091"
"HSPG2_mut"	"R-HSA-5663205"
"HSPG2_mut"	"R-HSA-216083"
"HSPG2_mut"	"R-HSA-3000157"
"HSPG2_mut"	"R-HSA-1430728"
"HSPG2_mut"	"R-HSA-71387"
"HSPG2_mut"	"R-HSA-6806667"
"HSPG2_mut"	"R-HSA-392499"
"HSPG2_mut"	"R-HSA-196854"
"HSPG2_mut"	"R-HSA-3000171"
"HSPG2_mut"	"R-HSA-975634"
"HSPG2_mut"	"R-HSA-9679506"
"HSPG2_mut"	"R-HSA-9694516"
"HSPG2_mut"	"R-HSA-9709957"
"HSPG2_mut"	"R-HSA-9824446"
"HSPG2_mut"	"R-HSA-2187338"
"NCAN_mut"	"R-HSA-1971475"
"NCAN_mut"	"R-HSA-422475"
"NCAN_mut"	"R-HSA-2024101"
"NCAN_mut"	"R-HSA-2022870"
"NCAN_mut"	"R-HSA-1793185"
"NCAN_mut"	"R-HSA-4420332"
"NCAN_mut"	"R-HSA-3560801"
"NCAN_mut"	"R-HSA-3560783"
"NCAN_mut"	"R-HSA-3595174"
"NCAN_mut"	"R-HSA-3595172"
"NCAN_mut"	"R-HSA-3595177"
"NCAN_mut"	"R-HSA-2022923"
"NCAN_mut"	"R-HSA-1266738"
"NCAN_mut"	"R-HSA-1643685"
"NCAN_mut"	"R-HSA-3560782"
"NCAN_mut"	"R-HSA-3781865"
"NCAN_mut"	"R-HSA-5668914"
"NCAN_mut"	"R-HSA-3000178"
"NCAN_mut"	"R-HSA-1474244"
"NCAN_mut"	"R-HSA-1630316"
"NCAN_mut"	"R-HSA-1638091"
"NCAN_mut"	"R-HSA-373760"
"NCAN_mut"	"R-HSA-1430728"
"NCAN_mut"	"R-HSA-71387"
"NCAN_mut"	"R-HSA-375165"
"NCAN_mut"	"R-HSA-419037"
"NCAN_mut"	"R-HSA-9675108"
"VCAN_mut"	"R-HSA-1971475"
"VCAN_mut"	"R-HSA-2024101"
"VCAN_mut"	"R-HSA-2022870"
"VCAN_mut"	"R-HSA-1793185"
"VCAN_mut"	"R-HSA-4420332"
"VCAN_mut"	"R-HSA-3560801"
"VCAN_mut"	"R-HSA-3560783"
"VCAN_mut"	"R-HSA-3595174"
"VCAN_mut"	"R-HSA-3595172"
"VCAN_mut"	"R-HSA-3595177"
"VCAN_mut"	"R-HSA-2022923"
"VCAN_mut"	"R-HSA-1643685"
"VCAN_mut"	"R-HSA-3560782"
"VCAN_mut"	"R-HSA-3781865"
"VCAN_mut"	"R-HSA-5668914"
"VCAN_mut"	"R-HSA-3000178"
"VCAN_mut"	"R-HSA-1474244"
"VCAN_mut"	"R-HSA-1630316"
"VCAN_mut"	"R-HSA-1638091"
"VCAN_mut"	"R-HSA-1430728"
"VCAN_mut"	"R-HSA-71387"
"VCAN_mut"	"R-HSA-392499"
"VCAN_mut"	"R-HSA-597592"
"VCAN_mut"	"R-HSA-8957275"
"VCAN_mut"	"R-HSA-381426"
"XYLT1_mut"	"R-HSA-1971475"
"XYLT1_mut"	"R-HSA-1793185"
"XYLT1_mut"	"R-HSA-1630316"
"XYLT1_mut"	"R-HSA-1638091"
"XYLT1_mut"	"R-HSA-1430728"
"XYLT1_mut"	"R-HSA-71387"
"ABCA12_mut"	"R-HSA-5619084"
"ABCA12_mut"	"R-HSA-1369062"
"ABCA12_mut"	"R-HSA-382556"
"ABCA12_mut"	"R-HSA-1643685"
"ABCA12_mut"	"R-HSA-5619115"
"ABCA12_mut"	"R-HSA-382551"
"ABCA3_mut"	"R-HSA-5619084"
"ABCA3_mut"	"R-HSA-1369062"
"ABCA3_mut"	"R-HSA-382556"
"ABCA3_mut"	"R-HSA-1643685"
"ABCA3_mut"	"R-HSA-5619115"
"ABCA3_mut"	"R-HSA-392499"
"ABCA3_mut"	"R-HSA-382551"
"ABCB11_mut"	"R-HSA-5619084"
"ABCB11_mut"	"R-HSA-1643685"
"ABCB11_mut"	"R-HSA-5619115"
"ABCB11_mut"	"R-HSA-1430728"
"ABCB11_mut"	"R-HSA-556833"
"ABCC2_mut"	"R-HSA-5619084"
"ABCC2_mut"	"R-HSA-382556"
"ABCC2_mut"	"R-HSA-9754706"
"ABCC2_mut"	"R-HSA-1643685"
"ABCC2_mut"	"R-HSA-5619115"
"ABCC2_mut"	"R-HSA-9748784"
"ABCC2_mut"	"R-HSA-189483"
"ABCC2_mut"	"R-HSA-1430728"
"ABCC2_mut"	"R-HSA-189445"
"ABCC2_mut"	"R-HSA-9753281"
"ABCC2_mut"	"R-HSA-382551"
"ABCC8_mut"	"R-HSA-5619084"
"ABCC8_mut"	"R-HSA-1643685"
"ABCC8_mut"	"R-HSA-5619115"
"ABCC8_mut"	"R-HSA-1430728"
"ABCC8_mut"	"R-HSA-112316"
"ABCC9_mut"	"R-HSA-5619084"
"ABCC9_mut"	"R-HSA-382556"
"ABCC9_mut"	"R-HSA-1296025"
"ABCC9_mut"	"R-HSA-1643685"
"ABCC9_mut"	"R-HSA-5619115"
"ABCC9_mut"	"R-HSA-1296065"
"ABCC9_mut"	"R-HSA-112316"
"ABCC9_mut"	"R-HSA-1296071"
"ABCC9_mut"	"R-HSA-382551"
"ABCG8_mut"	"R-HSA-5619084"
"ABCG8_mut"	"R-HSA-1369062"
"ABCG8_mut"	"R-HSA-382556"
"ABCG8_mut"	"R-HSA-5679096"
"ABCG8_mut"	"R-HSA-5679090"
"ABCG8_mut"	"R-HSA-1643685"
"ABCG8_mut"	"R-HSA-5619115"
"ABCG8_mut"	"R-HSA-9024446"
"ABCG8_mut"	"R-HSA-9029569"
"ABCG8_mut"	"R-HSA-162582"
"ABCG8_mut"	"R-HSA-9006931"
"ABCG8_mut"	"R-HSA-382551"
"CFTR_mut"	"R-HSA-5619084"
"CFTR_mut"	"R-HSA-382556"
"CFTR_mut"	"R-HSA-9646399"
"CFTR_mut"	"R-HSA-9612973"
"CFTR_mut"	"R-HSA-8856825"
"CFTR_mut"	"R-HSA-9613829"
"CFTR_mut"	"R-HSA-8856828"
"CFTR_mut"	"R-HSA-5688426"
"CFTR_mut"	"R-HSA-1643685"
"CFTR_mut"	"R-HSA-5619115"
"CFTR_mut"	"R-HSA-9615710"
"CFTR_mut"	"R-HSA-1632852"
"CFTR_mut"	"R-HSA-199991"
"CFTR_mut"	"R-HSA-392499"
"CFTR_mut"	"R-HSA-597592"
"CFTR_mut"	"R-HSA-195258"
"CFTR_mut"	"R-HSA-9012999"
"CFTR_mut"	"R-HSA-9013406"
"CFTR_mut"	"R-HSA-9663891"
"CFTR_mut"	"R-HSA-162582"
"CFTR_mut"	"R-HSA-194315"
"CFTR_mut"	"R-HSA-9716542"
"CFTR_mut"	"R-HSA-382551"
"CFTR_mut"	"R-HSA-5689880"
"CFTR_mut"	"R-HSA-5653656"
"PSMA8_mut"	"R-HSA-5619084"
"PSMA8_mut"	"R-HSA-382556"
"PSMA8_mut"	"R-HSA-174143"
"PSMA8_mut"	"R-HSA-174154"
"PSMA8_mut"	"R-HSA-176409"
"PSMA8_mut"	"R-HSA-174178"
"PSMA8_mut"	"R-HSA-179419"
"PSMA8_mut"	"R-HSA-450408"
"PSMA8_mut"	"R-HSA-176814"
"PSMA8_mut"	"R-HSA-1169091"
"PSMA8_mut"	"R-HSA-1280218"
"PSMA8_mut"	"R-HSA-1236975"
"PSMA8_mut"	"R-HSA-983168"
"PSMA8_mut"	"R-HSA-109581"
"PSMA8_mut"	"R-HSA-4608870"
"PSMA8_mut"	"R-HSA-349425"
"PSMA8_mut"	"R-HSA-422475"
"PSMA8_mut"	"R-HSA-3858494"
"PSMA8_mut"	"R-HSA-5621481"
"PSMA8_mut"	"R-HSA-69017"
"PSMA8_mut"	"R-HSA-5607764"
"PSMA8_mut"	"R-HSA-174184"
"PSMA8_mut"	"R-HSA-1640170"
"PSMA8_mut"	"R-HSA-69620"
"PSMA8_mut"	"R-HSA-69278"
"PSMA8_mut"	"R-HSA-9711123"
"PSMA8_mut"	"R-HSA-1234174"
"PSMA8_mut"	"R-HSA-8953897"
"PSMA8_mut"	"R-HSA-2262752"
"PSMA8_mut"	"R-HSA-983169"
"PSMA8_mut"	"R-HSA-1236978"
"PSMA8_mut"	"R-HSA-1280215"
"PSMA8_mut"	"R-HSA-69306"
"PSMA8_mut"	"R-HSA-5607761"
"PSMA8_mut"	"R-HSA-5678895"
"PSMA8_mut"	"R-HSA-4641257"
"PSMA8_mut"	"R-HSA-4641258"
"PSMA8_mut"	"R-HSA-5610780"
"PSMA8_mut"	"R-HSA-5610783"
"PSMA8_mut"	"R-HSA-195253"
"PSMA8_mut"	"R-HSA-5688426"
"PSMA8_mut"	"R-HSA-1266738"
"PSMA8_mut"	"R-HSA-1643685"
"PSMA8_mut"	"R-HSA-5663202"
"PSMA8_mut"	"R-HSA-5619115"
"PSMA8_mut"	"R-HSA-202424"
"PSMA8_mut"	"R-HSA-1168372"
"PSMA8_mut"	"R-HSA-1236974"
"PSMA8_mut"	"R-HSA-8854050"
"PSMA8_mut"	"R-HSA-2871837"
"PSMA8_mut"	"R-HSA-2454202"
"PSMA8_mut"	"R-HSA-69615"
"PSMA8_mut"	"R-HSA-69481"
"PSMA8_mut"	"R-HSA-69275"
"PSMA8_mut"	"R-HSA-5610785"
"PSMA8_mut"	"R-HSA-74160"
"PSMA8_mut"	"R-HSA-212436"
"PSMA8_mut"	"R-HSA-162906"
"PSMA8_mut"	"R-HSA-5610787"
"PSMA8_mut"	"R-HSA-5632684"
"PSMA8_mut"	"R-HSA-5358346"
"PSMA8_mut"	"R-HSA-5387390"
"PSMA8_mut"	"R-HSA-5362768"
"PSMA8_mut"	"R-HSA-162909"
"PSMA8_mut"	"R-HSA-168256"
"PSMA8_mut"	"R-HSA-5663205"
"PSMA8_mut"	"R-HSA-168249"
"PSMA8_mut"	"R-HSA-446652"
"PSMA8_mut"	"R-HSA-9020702"
"PSMA8_mut"	"R-HSA-9006925"
"PSMA8_mut"	"R-HSA-9755511"
"PSMA8_mut"	"R-HSA-68886"
"PSMA8_mut"	"R-HSA-5683057"
"PSMA8_mut"	"R-HSA-5684996"
"PSMA8_mut"	"R-HSA-5687128"
"PSMA8_mut"	"R-HSA-1430728"
"PSMA8_mut"	"R-HSA-8953854"
"PSMA8_mut"	"R-HSA-71291"
"PSMA8_mut"	"R-HSA-351202"
"PSMA8_mut"	"R-HSA-392499"
"PSMA8_mut"	"R-HSA-68882"
"PSMA8_mut"	"R-HSA-453274"
"PSMA8_mut"	"R-HSA-2555396"
"PSMA8_mut"	"R-HSA-5676590"
"PSMA8_mut"	"R-HSA-8951664"
"PSMA8_mut"	"R-HSA-9675108"
"PSMA8_mut"	"R-HSA-68949"
"PSMA8_mut"	"R-HSA-1234176"
"PSMA8_mut"	"R-HSA-4086400"
"PSMA8_mut"	"R-HSA-1257604"
"PSMA8_mut"	"R-HSA-6807070"
"PSMA8_mut"	"R-HSA-597592"
"PSMA8_mut"	"R-HSA-5357801"
"PSMA8_mut"	"R-HSA-5673001"
"PSMA8_mut"	"R-HSA-73857"
"PSMA8_mut"	"R-HSA-8939236"
"PSMA8_mut"	"R-HSA-176408"
"PSMA8_mut"	"R-HSA-169911"
"PSMA8_mut"	"R-HSA-8948751"
