Hugo_Symbol	Entrez_Gene_Id	Pt1	Pt10	Pt11	Pt12	Pt13	Pt14	Pt15	Pt16	Pt17	Pt18	Pt19	Pt2	Pt20	Pt21	Pt22	Pt23	Pt24	Pt25	Pt26	Pt27	Pt28	Pt29	Pt3	Pt30	Pt31	Pt32	Pt33	Pt34	Pt35	Pt36	Pt37	Pt38	Pt4	Pt5	Pt6	Pt7	Pt9
A1BG	1	0	0	-1	0	0	0	1	-1	0	1	1	0	0	0	0	-1	-2	1	-1	0	0	1	0	0	-1	1	0	0	2	0	0	-1	0	1	0	1	0
A1BG-AS1	503538	0	0	-1	0	0	0	1	-1	0	1	1	0	0	0	0	-1	-2	1	-1	0	0	1	0	0	-1	1	0	0	2	0	0	-1	0	1	0	1	0
A1CF	29974	-1	-1	-1	0	-1	0	-1	0	0	-1	0	0	-1	-2	-1	0	0	0	0	0	0	1	-2	0	-1	-1	-1	-1	0	-1	0	1	0	0	0	-1	-1
A2LD1	87769	-1	-1	-1	-1	0	-1	0	0	0	-1	-1	0	0	-1	0	-1	1	0	0	2	0	1	1	0	0	1	0	0	1	0	0	0	1	2	1	-1	0
A2M	2	1	0	1	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	-2	0	0	0	0	2	0
A2ML1	144568	1	0	1	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	-2	0	0	0	0	2	0
A2MP1	3	1	0	1	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	-2	0	0	0	0	2	0
A4GALT	53947	1	2	1	1	0	2	1	1	1	2	1	0	0	0	0	0	1	-1	2	0	0	1	1	0	1	2	0	1	2	0	0	-1	1	1	1	1	0
A4GNT	51146	-1	1	0	-1	0	0	1	1	0	2	1	-1	1	0	0	0	1	-1	2	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
AA06	100506677	-1	1	1	-1	0	0	-1	0	0	0	1	0	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	1	-1	1	-1	-2	-1	-1
AAA1	404744	1	2	1	1	1	-1	1	1	1	1	1	1	0	2	0	1	1	0	2	0	0	2	1	1	2	1	1	1	0	0	0	0	1	-1	0	2	1
AAAS	8086	1	0	1	1	0	0	-1	-1	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	-1	0	-1	0	0	0	0	-1	0
AACS	65985	-1	0	0	1	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-2	0	0	0	0	-1	0
AACSP1	729522	1	0	0	-1	0	-1	1	-1	0	0	-1	0	-1	0	0	0	1	1	0	-2	0	0	1	0	0	-1	-1	-1	-1	-1	1	0	0	0	0	-1	1
AADAC	13	-1	1	0	-1	0	0	1	1	0	2	1	-1	1	0	0	0	1	-1	2	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
AADACL2	344752	-1	1	0	-1	0	0	1	1	0	2	1	-1	1	0	0	0	1	-1	2	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
AADACL3	126767	1	0	0	1	1	0	1	1	0	0	-1	-1	0	1	0	0	1	0	0	0	0	0	0	-1	1	1	-1	0	2	-1	0	0	-1	0	0	0	-1
AADACL4	343066	1	0	0	1	1	0	1	1	0	0	-1	-1	0	1	0	0	1	0	0	0	0	0	0	-1	1	1	-1	0	2	-1	0	0	-1	0	0	0	-1
AADAT	51166	-1	-1	-1	0	0	-1	0	-1	0	0	0	-1	0	-1	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	-2	1	0	-1	0
AAGAB	79719	0	-1	1	1	0	-1	-1	0	0	1	1	-1	0	0	0	-1	0	0	-1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	-1	0
AAK1	22848	1	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	2	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	1	0
AAMP	14	1	2	-1	0	0	-1	-1	0	1	2	1	-1	0	0	0	0	1	1	2	0	0	-1	0	0	1	1	0	0	0	-1	0	0	0	0	0	1	0
AANAT	15	1	1	1	-1	0	0	-1	2	0	0	1	1	2	-1	0	0	0	0	-1	0	0	-2	1	0	1	2	0	1	0	0	2	-1	1	0	0	-1	-1
AARS	16	0	0	-1	0	0	0	-1	0	0	1	-1	0	-1	0	0	-1	1	-1	0	0	0	-2	-2	0	0	0	-1	-1	-1	0	1	0	0	1	0	-1	0
AARS2	57505	1	-1	1	-1	1	0	1	0	0	0	0	0	1	0	1	0	1	1	2	0	0	1	-2	1	0	1	-1	1	1	0	0	0	1	2	0	-1	-1
AARSD1	80755	-1	1	1	-1	0	0	-1	0	0	0	1	0	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	1	-1	1	0	1	-1	-1
AASDH	132949	-1	-1	1	0	0	0	0	-1	0	0	-1	-1	0	-1	0	0	-2	1	0	0	0	0	0	0	-1	0	-1	0	-1	-1	0	0	-2	1	0	-1	0
AASDHPPT	60496	-1	0	-1	-1	0	2	1	0	0	-1	-1	-2	-1	-1	0	1	0	-1	-1	0	0	0	0	0	-1	0	-1	-2	-1	0	1	1	-2	-1	0	-1	0
AASS	10157	1	0	2	2	1	0	1	0	1	1	1	0	1	1	1	1	1	1	2	0	0	1	1	1	1	1	1	0	0	0	0	1	-1	-1	1	0	1
AATF	26574	-1	1	1	-1	0	0	-1	0	0	0	1	0	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	1	-1	1	-1	1	-1	-1
AATK	9625	1	1	1	-1	0	0	-1	2	0	0	1	1	2	-1	0	0	0	0	-1	0	0	-2	1	0	1	2	1	1	-1	0	2	-1	1	0	0	-1	-1
AATK-AS1	388428	1	1	1	-1	0	0	-1	2	0	0	1	1	2	-1	0	0	0	0	-1	0	0	-2	1	0	1	2	1	1	-1	0	2	-1	1	0	0	-1	-1
ABAT	18	1	0	0	0	0	0	-1	0	0	1	-1	0	-1	0	0	0	1	1	-1	0	0	-1	1	0	0	0	-1	-1	-1	0	0	0	1	1	0	-1	0
ABCA1	19	-1	1	-1	-1	0	0	0	-1	-2	0	-1	-1	0	-1	0	0	0	0	-1	0	0	1	0	1	0	-2	0	-1	-1	-1	0	0	1	-1	0	0	-1
ABCA10	10349	1	1	1	-1	0	0	-1	0	0	0	1	1	2	-1	0	0	0	0	-1	0	0	2	1	0	1	2	0	1	0	0	1	-1	1	0	0	-1	-1
ABCA11P	79963	0	-1	-1	0	0	0	-1	-1	0	0	-1	-1	0	-1	-1	0	-2	1	0	0	0	0	0	0	-1	0	-1	0	0	-1	0	0	-2	1	-2	-1	-1
ABCA12	26154	1	2	-1	0	0	-1	0	0	1	2	1	-1	0	0	0	0	1	1	2	0	0	-1	0	0	1	1	0	0	0	-1	0	0	0	0	0	1	0
ABCA13	154664	1	2	1	1	1	-1	1	1	1	1	1	0	0	2	0	1	1	0	2	0	0	2	1	1	2	1	1	1	0	0	0	0	1	-1	0	2	1
ABCA17P	650655	1	0	0	0	0	0	-1	0	0	1	-1	0	-1	0	0	0	1	1	-1	0	0	-1	1	0	0	0	-1	-1	-1	0	0	0	1	1	0	-1	0
ABCA2	20	-1	1	-1	-1	0	2	-1	-1	0	0	-1	-1	0	-1	0	0	0	0	-2	0	0	1	0	0	0	-2	0	-1	-1	-1	0	0	1	-1	0	0	-2
ABCA3	21	1	0	0	0	0	0	-1	0	0	1	-1	0	-1	0	0	0	1	1	-1	0	0	-1	1	0	0	0	-1	-1	-1	0	0	0	1	1	0	-1	0
ABCA4	24	2	-1	-1	1	1	2	1	1	0	0	1	-1	0	0	0	0	1	0	2	0	0	0	0	0	-1	0	-1	0	0	-1	0	0	-1	0	0	0	0
ABCA5	23461	1	1	1	-1	0	0	-1	0	0	0	1	1	2	-1	0	0	0	0	-1	0	0	2	1	0	1	2	0	1	0	0	1	-1	1	0	0	-1	-1
ABCA6	23460	1	1	1	-1	0	0	-1	0	0	0	1	1	2	-1	0	0	0	0	-1	0	0	2	1	0	1	2	0	1	0	0	1	-1	1	0	0	-1	-1
ABCA7	10347	-1	1	-1	0	0	2	-2	1	-2	1	0	0	0	0	0	-1	1	0	-1	0	0	1	0	0	-1	1	-1	0	-1	0	0	-1	0	1	0	1	0
ABCA8	10351	1	1	1	-1	0	0	-1	0	0	0	1	1	2	-1	0	0	0	0	-1	0	0	2	1	0	1	2	0	1	0	0	1	-1	1	0	0	-1	-1
ABCA9	10350	1	1	1	-1	0	0	-1	0	0	0	1	1	2	-1	0	0	0	0	-1	0	0	2	1	0	1	2	0	1	0	0	1	-1	1	0	0	-1	-1
ABCB1	5243	1	2	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	2	0	0	2	1	1	1	1	1	0	0	0	0	1	1	-1	1	0	1
ABCB10	23456	-1	2	2	1	1	-1	1	0	1	0	1	1	2	0	1	-1	1	1	0	-2	0	0	1	1	0	1	0	1	-1	0	1	0	1	1	0	0	0
ABCB11	8647	-1	2	-1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	1	2	0	0	-2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
ABCB4	5244	1	2	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	2	0	0	2	1	1	1	1	1	0	0	0	0	1	1	-1	1	0	1
ABCB5	340273	1	2	1	1	1	-1	1	1	1	1	1	1	0	2	0	1	1	0	2	0	0	2	1	1	2	1	1	1	0	0	0	0	1	-1	0	2	1
ABCB6	10058	1	2	-1	0	0	-1	-1	0	1	2	1	-1	0	0	0	0	1	1	2	0	0	-1	0	0	1	1	0	0	0	-1	0	0	0	0	0	1	0
ABCB8	11194	1	0	1	2	1	0	1	0	1	1	1	0	1	1	2	1	1	1	2	0	0	1	1	1	1	1	1	0	0	0	0	1	1	-1	1	-1	1
ABCB9	23457	-1	0	0	1	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-2	0	0	0	0	-1	0
ABCC1	4363	1	0	0	0	0	0	-1	0	0	1	-1	0	-1	0	0	0	1	1	-1	0	0	-1	1	0	0	0	-1	-1	-1	0	0	0	1	1	0	-1	0
ABCC10	89845	1	-1	1	-1	1	0	1	0	0	0	0	0	1	0	1	0	1	1	2	0	0	1	-2	1	0	1	-1	1	1	0	2	-1	1	2	0	-1	-1
ABCC11	85320	0	0	-1	0	0	-1	-1	0	0	1	-1	0	-1	0	0	-1	1	-1	0	0	0	-2	-2	0	0	0	-1	-1	-1	0	0	0	0	1	0	-1	0
ABCC12	94160	0	0	-1	0	0	-1	-1	0	0	1	-1	0	-1	0	0	-1	1	-1	0	0	0	-2	-2	0	0	0	-1	-1	-1	0	0	0	0	1	0	-1	0
ABCC13	150000	1	2	-1	0	0	-1	1	1	0	0	0	0	-1	0	0	1	0	-1	0	-2	0	1	0	0	-1	0	0	0	-1	0	1	0	1	1	1	-1	1
ABCC2	1244	-1	-1	-1	0	-1	2	-1	0	0	-1	0	0	-1	-1	-1	0	0	-1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	-1	-1
ABCC3	8714	-1	1	1	-1	0	0	-1	0	0	0	1	0	0	-1	0	0	0	0	-1	0	0	0	1	0	1	1	0	1	0	0	1	-1	1	0	0	-1	-1
ABCC4	10257	-1	-1	-1	-1	0	-1	0	0	0	-1	-1	0	0	-1	0	-1	1	0	0	2	0	1	1	0	0	1	0	0	1	0	0	0	1	2	1	-1	0
ABCC5	10057	-1	1	0	-1	0	2	1	1	0	2	1	-1	1	0	0	0	1	-1	0	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
ABCC6	368	1	0	0	0	0	0	-1	0	0	1	-1	0	-1	0	0	0	1	1	-1	0	0	-1	1	0	0	0	-1	-1	-1	0	0	0	1	1	0	-1	0
ABCC6P1	653190	1	0	0	0	0	0	-1	0	0	1	-1	0	-1	0	0	0	1	1	-1	0	0	0	1	0	0	0	-1	-1	-1	0	0	0	1	1	0	-1	0
