Hugo_Symbol	Entrez_Gene_Id	CR6161	CR0095	CR04885	CR06670	CR1509	CR22640	CR3665	CR4880	CR6126	CR9306	CR9699	CRNR0244	CRNR2472	CRNR4941	CR7623	LSD0167	SD0346	SD1494	SD2056	LSD2057	LSD3484	LSD4691	LSD4744	SD6336	LSD6819	LSDNR9298	LSDNR1120	LSDNR1650	LSDNR3086	NR6721	NR9765	NR1867	NR2137	NR3156	NR3549	NR4018	NR4045	NR4083	NR4631	NR4810	NR4949	NR5784	NR6689	NR6842	NR8727	NR8815	NR9341	NR9445	NR9449	NR9521	NR9705	PR03803	PR12117	PR4035	PR4046	PR4077	PR4091	PR4092	SD2051	SD5038	SD5118	SD5934	SD6494	SD7357
DDX11L1	100287102	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
FAM138A	645520	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
FAM138F	641702	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
FAM41C	284593	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
LINC00115	79854	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
LOC100130417	100130417	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
LOC100132062	100132062	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
LOC100132287	100132287	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
LOC100133331	100133331	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
LOC100288069	100288069	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
LOC643837	643837	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
LOC729737	729737	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
OR4F16	81399	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
OR4F29	729759	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
OR4F3	26683	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
OR4F5	79501	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
SAMD11	148398	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
WASH7P	653635	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
hsa-mir-1302-2		1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
