source	target	source name	target name	value	type	source layer	target layer
1	3831	A2M_mut	R-HSA-114608	0.006142336197727773	0	0	1
1	3831	A2M_mut	R-HSA-114608	0.005322038946259353	1	0	1
2	4721	ABCA12_mut	R-HSA-1369062	0.01383491704473272	0	0	1
2	4721	ABCA12_mut	R-HSA-1369062	0.013784525721954802	1	0	1
3	4977	ABCA13_mut	R-HSA-6798695	0.01122328927481754	0	0	1
3	4977	ABCA13_mut	R-HSA-6798695	0.011120178843460357	1	0	1
4	4536	ABCA1_mut	R-HSA-8963896	0.0006856999589217594	0	0	1
4	4536	ABCA1_mut	R-HSA-8963896	0.00068320239774443	1	0	1
5	4721	ABCA2_mut	R-HSA-1369062	0.0031309005983833535	0	0	1
5	4721	ABCA2_mut	R-HSA-1369062	0.0031194967038269774	1	0	1
6	4721	ABCA3_mut	R-HSA-1369062	0.007778178978090485	0	0	1
6	4721	ABCA3_mut	R-HSA-1369062	0.007749848046741035	1	0	1
7	4721	ABCA5_mut	R-HSA-1369062	0.010386038607167494	0	0	1
7	4721	ABCA5_mut	R-HSA-1369062	0.010348208736912865	1	0	1
8	4721	ABCA6_mut	R-HSA-1369062	0.0035262653958246424	0	0	1
8	4721	ABCA6_mut	R-HSA-1369062	0.003513421591681739	1	0	1
9	4721	ABCA7_mut	R-HSA-1369062	0.0035218908879970615	0	0	1
9	4721	ABCA7_mut	R-HSA-1369062	0.0035090630165844536	1	0	1
10	4721	ABCA9_mut	R-HSA-1369062	0.008031936226567874	0	0	1
10	4721	ABCA9_mut	R-HSA-1369062	0.008002680639037862	1	0	1
11	3989	ABCB4_mut	R-HSA-1989781	0.0018018084627126679	0	0	1
11	3989	ABCB4_mut	R-HSA-1989781	0.0017545698713850773	1	0	1
12	4720	ABCB6_mut	R-HSA-1369007	0.0	0	0	1
12	4720	ABCB6_mut	R-HSA-1369007	0.0	1	0	1
13	3971	ABCC3_mut	R-HSA-194068	0.006303644318702734	0	0	1
13	3971	ABCC3_mut	R-HSA-194068	0.006481699773252735	1	0	1
13	5298	ABCC3_mut	R-HSA-9749641	0.006303644318702734	0	0	1
13	5298	ABCC3_mut	R-HSA-9749641	0.006481699773252735	1	0	1
13	5299	ABCC3_mut	R-HSA-9753281	0.006303644318702734	0	0	1
13	5299	ABCC3_mut	R-HSA-9753281	0.006481699773252735	1	0	1
13	4673	ABCC3_mut	R-HSA-9755511	0.006303644318702734	0	0	1
13	4673	ABCC3_mut	R-HSA-9755511	0.006481699773252735	1	0	1
14	3831	ABCC4_mut	R-HSA-114608	0.011010385710202778	0	0	1
14	3831	ABCC4_mut	R-HSA-114608	0.0102387864026241	1	0	1
14	5299	ABCC4_mut	R-HSA-9753281	0.011010385710202778	0	0	1
14	5299	ABCC4_mut	R-HSA-9753281	0.0102387864026241	1	0	1
